price,brand
28400,dodge
17400,dodge
6000,dodge
20700,dodge
20300,dodge
14000,dodge
22000,dodge
17200,dodge
15000,dodge
17500,dodge
1300,dodge
1750,dodge
16300,dodge
15700,dodge
10000,dodge
23100,dodge
14900,dodge
16700,dodge
16300,dodge
25800,dodge
23800,dodge
16800,dodge
15500,dodge
6000,dodge
26900,dodge
16900,dodge
19500,dodge
15400,dodge
2300,dodge
17000,dodge
34000,dodge
13700,dodge
19100,dodge
11800,dodge
27500,dodge
26900,dodge
27100,dodge
27200,dodge
9000,dodge
22500,dodge
7700,dodge
4500,dodge
2200,dodge
21500,dodge
18800,dodge
21800,dodge
20300,dodge
8200,dodge
19000,dodge
8400,dodge
19500,dodge
7000,dodge
19500,dodge
8500,dodge
20500,dodge
4900,dodge
20800,dodge
28500,dodge
21900,dodge
15800,dodge
33000,dodge
22700,dodge
21900,dodge
19300,dodge
30700,dodge
19300,dodge
13750,dodge
16400,dodge
19500,dodge
15100,dodge
28500,dodge
15300,dodge
20300,dodge
22000,dodge
16700,dodge
19300,dodge
34100,dodge
14600,dodge
18200,dodge
33800,dodge
15900,dodge
16500,dodge
29600,dodge
14100,dodge
18200,dodge
18200,dodge
24300,dodge
15400,dodge
19000,dodge
19000,dodge
27800,dodge
18200,dodge
15000,dodge
19200,dodge
15500,dodge
24900,dodge
15500,dodge
7600,dodge
18400,dodge
14700,dodge
3900,dodge
5200,dodge
17200,dodge
18700,dodge
32000,dodge
14500,dodge
19400,dodge
17300,dodge
16700,dodge
19100,dodge
11100,dodge
32000,dodge
16900,dodge
18000,dodge
17800,dodge
18000,dodge
17500,dodge
14500,dodge
18500,dodge
18600,dodge
32000,dodge
17000,dodge
16000,dodge
18000,dodge
15900,dodge
6200,dodge
3700,dodge
24000,dodge
20800,dodge
18500,dodge
18300,dodge
21000,dodge
1300,dodge
11900,dodge
950,dodge
26800,dodge
800,dodge
21000,dodge
1900,dodge
33500,dodge
900,dodge
21000,dodge
26800,dodge
5700,dodge
18500,dodge
33000,dodge
11000,dodge
15800,dodge
3600,dodge
16300,dodge
2700,dodge
12800,dodge
9700,dodge
18300,dodge
16000,dodge
21000,dodge
3700,dodge
33000,dodge
14700,dodge
33000,dodge
15900,dodge
33000,dodge
33000,dodge
32500,dodge
33000,dodge
13000,dodge
33000,dodge
16500,dodge
33000,dodge
34500,dodge
33500,dodge
48000,dodge
54500,dodge
13200,dodge
31500,dodge
17400,dodge
26000,dodge
1700,dodge
11000,dodge
21000,dodge
5500,dodge
7500,dodge
15800,dodge
16900,dodge
25000,dodge
18000,dodge
15600,dodge
23800,dodge
16800,dodge
22700,dodge
23300,dodge
23500,dodge
25500,dodge
21800,dodge
22800,dodge
18200,dodge
23500,dodge
25700,dodge
15700,dodge
17500,dodge
15700,dodge
16500,dodge
16100,dodge
15600,dodge
15400,dodge
28200,dodge
15300,dodge
15900,dodge
17700,dodge
15800,dodge
15900,dodge
25300,dodge
16300,dodge
29500,dodge
14500,dodge
15400,dodge
15400,dodge
15100,dodge
15000,dodge
15500,dodge
15000,dodge
15200,dodge
15700,dodge
16100,dodge
16300,dodge
16000,dodge
16900,dodge
17000,dodge
17300,dodge
15900,dodge
15700,dodge
16900,dodge
15500,dodge
15100,dodge
15500,dodge
15400,dodge
16500,dodge
42500,dodge
16600,dodge
15200,dodge
15800,dodge
16900,dodge
11100,dodge
15600,dodge
16900,dodge
15300,dodge
16600,dodge
21800,dodge
36500,dodge
26300,dodge
20900,dodge
20100,dodge
26700,dodge
23900,dodge
14500,dodge
23000,dodge
15000,dodge
15000,dodge
28500,ford
28000,ford
9000,ford
28700,ford
25000,ford
17347,ford
13800,ford
25888,ford
8500,ford
21289,ford
17999,ford
2700,ford
30977,ford
13799,ford
20500,ford
8500,ford
9900,ford
65500,ford
24500,ford
32500,ford
9200,ford
17700,ford
18300,ford
43500,ford
15200,ford
36200,ford
21900,ford
20700,ford
12300,ford
4200,ford
19500,ford
14300,ford
13700,ford
13200,ford
6200,ford
6500,ford
1500,ford
2200,ford
4200,ford
8700,ford
3200,ford
9000,ford
20000,ford
33000,ford
23300,ford
8750,ford
11975,ford
23600,ford
12000,ford
30900,ford
23900,ford
40400,ford
38000,ford
27000,ford
24000,ford
30000,ford
16200,ford
30000,ford
23900,ford
13800,ford
23700,ford
24300,ford
54900,ford
22500,ford
39000,ford
13900,ford
24700,ford
20100,ford
22000,ford
38200,ford
24400,ford
35000,ford
18600,ford
22700,ford
38000,ford
17000,ford
17500,ford
23200,ford
30700,ford
23500,ford
26400,ford
23500,ford
38000,ford
23600,ford
19300,ford
23200,ford
13800,ford
23600,ford
23200,ford
40000,ford
23400,ford
23600,ford
23000,ford
25500,ford
23500,ford
29900,ford
23200,ford
50500,ford
23400,ford
24500,ford
49000,ford
25400,ford
23000,ford
6000,ford
22400,ford
22500,ford
25200,ford
36000,ford
26700,ford
30500,ford
26700,ford
25000,ford
35200,ford
30300,ford
25000,ford
26500,ford
21600,ford
18800,ford
21500,ford
9000,ford
16700,ford
16800,ford
15700,ford
16800,ford
19500,ford
20500,ford
17400,ford
17500,ford
26000,ford
56700,ford
5000,ford
40200,ford
54000,ford
65200,ford
32500,ford
25500,ford
63000,ford
44000,ford
70000,ford
56200,ford
35000,ford
57700,ford
74000,ford
60200,ford
60000,ford
63000,ford
22500,ford
8300,ford
8300,ford
21000,ford
19300,ford
16400,ford
27300,ford
26400,ford
35100,ford
41500,ford
34100,ford
28600,ford
34100,ford
28700,ford
24700,ford
46500,ford
29000,ford
25500,ford
39500,ford
33100,ford
30500,ford
3600,ford
16800,ford
24000,ford
58500,ford
55000,ford
28800,ford
26800,ford
36000,ford
20000,ford
46700,ford
42800,ford
21800,ford
18800,ford
18800,ford
30200,ford
27500,ford
37500,ford
19100,ford
17100,ford
13500,ford
54500,ford
9000,ford
16400,ford
17000,ford
24800,ford
26800,ford
19400,ford
20000,ford
7000,ford
25100,ford
2000,ford
18200,ford
14200,ford
56500,ford
2000,ford
26500,ford
34300,ford
43500,ford
3500,ford
37200,ford
12800,ford
15000,ford
12500,ford
21500,ford
17300,ford
27000,ford
31800,ford
13000,ford
31800,ford
46300,ford
6000,ford
22800,ford
45000,ford
49500,ford
3000,ford
20000,ford
25300,ford
4000,ford
45500,ford
9100,ford
48000,ford
47000,ford
49500,ford
31200,ford
18500,ford
15500,ford
30500,ford
45500,ford
31500,ford
11000,ford
46500,ford
31500,ford
32000,ford
23900,ford
31500,ford
18500,ford
1500,ford
46000,ford
31500,ford
14700,ford
2700,ford
47500,ford
31500,ford
8900,ford
7000,ford
49000,ford
31500,ford
8900,ford
48000,ford
50000,ford
47300,ford
45000,ford
49000,ford
40200,ford
48000,ford
5000,ford
8200,ford
49000,ford
4000,ford
39000,ford
29000,ford
46500,ford
7805,ford
22000,ford
18800,ford
33000,ford
39500,ford
16900,ford
42500,ford
39500,ford
25500,ford
49500,ford
25000,ford
40000,ford
26000,ford
29500,ford
23000,ford
25500,ford
44500,ford
15600,ford
23100,ford
37000,ford
14500,ford
23000,ford
26500,ford
18000,ford
35700,ford
31000,ford
2000,ford
40400,ford
43600,ford
22600,ford
26000,ford
23200,ford
29000,ford
22800,ford
3450,ford
31000,ford
22900,ford
3000,ford
28000,ford
23200,ford
27000,ford
22800,ford
31500,ford
23400,ford
28000,ford
23400,ford
28000,ford
24900,ford
23500,ford
36000,ford
28700,ford
16000,ford
31000,ford
16500,ford
28500,ford
10800,ford
28500,ford
25000,ford
31000,ford
7800,ford
28500,ford
9500,ford
28500,ford
14500,ford
25000,ford
14500,ford
28500,ford
12100,ford
29400,ford
24700,ford
8700,ford
29500,ford
25800,ford
17500,ford
23900,ford
22900,ford
19500,ford
29500,ford
24500,ford
11000,ford
22400,ford
15700,ford
11000,ford
28000,ford
13500,ford
7300,ford
25100,ford
24100,ford
6500,ford
10500,ford
16900,ford
6000,ford
28500,ford
16200,ford
6500,ford
24500,ford
16500,ford
56500,ford
10400,ford
22800,ford
26500,ford
23800,ford
24700,ford
12400,ford
16600,ford
11200,ford
15900,ford
